Date;HomeTeam;GuestTeam;HomeGoals;GuestGoals
01.02.19;Hannover;RB Leipzig;0;3
02.02.19;Eintracht Frankfurt;Dortmund;1;1
02.02.19;Union Berlin;Vfl Wolfsburg;0;1
02.02.19;HSV;Fortuna Dusseldorf;1;1
02.02.19;Bayer Leverkusen;Bayern Munich;3;1
02.02.19;FC Nurnberg;Werder Bremen;1;1
02.02.19;Schalke 04;M'gladbach;0;2
03.02.19;FC Augsburg;Mainz 04;3;0
03.02.19;Vfb Stuttgart;SC Freiburg;2;2
08.02.19;Mainz 04;Bayer Leverkusen;1;5
09.02.19;Bayern Munich;Schalke 04;3;1
09.02.19;Dortmund;HSV;3;3
09.02.19;SC Freiburg;Vfl Wolfsburg;3;3
09.02.19;Hannover;FC Nurnberg;2;0
09.02.19;M'gladbach;Union Berlin;0;3
09.02.19;RB Leipzig;Eintracht Frankfurt;0;0
10.02.19;Fortuna Dusseldorf;Vfb Stuttgart;3;0
10.02.19;Werder Bremen;FC Augsburg;4;0
15.02.19;FC Augsburg;Bayern Munich;2;3
16.02.19;Union Berlin;Werder Bremen;1;1
16.02.19;HSV;Hannover;3;0
16.02.19;Schalke 04;SC Freiburg;0;0
16.02.19;Vfb Stuttgart;RB Leipzig;1;3
16.02.19;Vfl Wolfsburg;Mainz 04;3;0
17.02.19;Eintracht Frankfurt;M'gladbach;1;1
17.02.19;Bayer Leverkusen;Fortuna Dusseldorf;2;0
18.02.19;FC Nurnberg;Dortmund;0;0
22.02.19;Werder Bremen;Vfb Stuttgart;1;1
23.02.19;Bayern Munich;Union Berlin;1;0
23.02.19;Fortuna Dusseldorf;FC Nurnberg;2;1
23.02.19;SC Freiburg;FC Augsburg;5;1
23.02.19;Mainz 04;Schalke 04;3;0
23.02.19;M'gladbach;Vfl Wolfsburg;0;3
24.02.19;Dortmund;Bayer Leverkusen;3;2
24.02.19;Hannover;Eintracht Frankfurt;0;3
25.02.19;RB Leipzig;HSV;1;1
01.03.19;FC Augsburg;Dortmund;2;1
02.03.19;Eintracht Frankfurt;HSV;3;2
02.03.19;Union Berlin;Mainz 04;2;1
02.03.19;Bayer Leverkusen;SC Freiburg;2;0
02.03.19;M'gladbach;Bayern Munich;1;5
02.03.19;FC Nurnberg;RB Leipzig;0;1
02.03.19;Schalke 04;Fortuna Dusseldorf;0;4
03.03.19;Vfb Stuttgart;Hannover;5;1
03.03.19;Vfl Wolfsburg;Werder Bremen;1;1
08.03.19;Werder Bremen;Schalke 04;4;2
09.03.19;Bayern Munich;Vfl Wolfsburg;6;0
09.03.19;Dortmund;Vfb Stuttgart;3;1
09.03.19;SC Freiburg;Union Berlin;2;1
09.03.19;Mainz 04;M'gladbach;0;1
09.03.19;RB Leipzig;FC Augsburg;0;0
10.03.19;Hannover;Bayer Leverkusen;2;3
10.03.19;HSV;FC Nurnberg;2;1
11.03.19;Fortuna Dusseldorf;Eintracht Frankfurt;0;3
15.03.19;M'gladbach;SC Freiburg;1;1
16.03.19;FC Augsburg;Hannover;3;1
16.03.19;Union Berlin;Dortmund;2;3
16.03.19;Schalke 04;RB Leipzig;0;1
16.03.19;Vfb Stuttgart;HSV;1;1
16.03.19;Vfl Wolfsburg;Fortuna Dusseldorf;5;2
17.03.19;Bayern Munich;Mainz 04;6;0
17.03.19;Eintracht Frankfurt;FC Nurnberg;1;0
17.03.19;Bayer Leverkusen;Werder Bremen;1;3
29.03.19;HSV;Bayer Leverkusen;4;1
30.03.19;Dortmund;Vfl Wolfsburg;2;0
30.03.19;Fortuna Dusseldorf;M'gladbach;3;1
30.03.19;SC Freiburg;Bayern Munich;1;1
30.03.19;FC Nurnberg;FC Augsburg;3;0
30.03.19;RB Leipzig;Union Berlin;5;0
30.03.19;Werder Bremen;Mainz 04;3;1
31.03.19;Eintracht Frankfurt;Vfb Stuttgart;3;0
